nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB
ALEXIS-LEBRUN,32583,32594,garcon,coup_droit,5,att/att,serveur_point_contre,,offensif,g3,pt_gagne,topspin,-53.28645143508911,135.5913823445638,2,ALEXIS-LEBRUN,FAN-ZHENDONG,158.91021728515625,-153.42984008789062,i4,-20.1732177734375,212.6275634765625,m5
ALEXIS-LEBRUN,32978,33036,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,36.41261749267578,62.485449981689456,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-56.17877197265625,231.78564453125,g6,114.6981201171875,-120.13916015625,h3
FAN-ZHENDONG,33037,33049,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,defensif,g3,,poussette,46.29867095947266,-100.43086764017741,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-16.8509521484375,190.20025634765625,m5,67.2584228515625,-190.099609375,g5
ALEXIS-LEBRUN,33050,33062,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-42.49594573974609,117.78987655639648,2,ALEXIS-LEBRUN,FAN-ZHENDONG,45.86737060546875,184.75091552734375,d5,79.8121337890625,-207.93325805664062,h5
FAN-ZHENDONG,33063,33082,garcon,revers,5,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,-13.0655517578125,244.9287109375,m6,142.6475830078125,-170.84033203125,i4
ALEXIS-LEBRUN,33416,33478,garcon,coup_droit,5,att/att,serveur_point_pour,lat_gauche,,,out,,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-16.8050537109375,197.42608642578125,m5,79.9171142578125,-187.06781005859375,h5
FAN-ZHENDONG,34026,34056,garcon,coup_droit,5,att/att,FAN-ZHENDONG,lat_droit,,m2,,,-0.1477489471435547,-55.216078758239746,2,FAN-ZHENDONG,ALEXIS-LEBRUN,64.2811279296875,-212.04473876953125,g5,-101.88214111328125,164.83892822265625,h4
ALEXIS-LEBRUN,34057,34069,garcon,coup_droit,5,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,1.1578994750976563,88.71368077596028,2,ALEXIS-LEBRUN,FAN-ZHENDONG,61.55615234375,-182.14825439453125,g4,-16.7039794921875,213.3179931640625,m5
FAN-ZHENDONG,34070,34086,garcon,coup_droit,5,att/att,FAN-ZHENDONG,,offensif,g3,,topspin,35.09664077758789,-95.06756375630697,2,FAN-ZHENDONG,ALEXIS-LEBRUN,58.59442138671875,-193.51046752929688,g5,-34.3448486328125,205.39642333984375,g5
ALEXIS-LEBRUN,34087,34107,garcon,revers,5,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,58.14593505859375,-277.86827087402344,g7,-41.88330078125,158.6427001953125,g4
